WRI,Exposure,Vulnerability,Susceptibility,Lack of Coping Capabilities, Lack of Adaptive Capacities,Exposure Category,WRI Category,Vulnerability Category,Susceptibility Category
10.0,10.000000000000002,7.153474903474905,5.154067444462202,7.846423450693006,6.930715935334873,10.0,10.0,7.75,7.75
10.0,10.000000000000002,6.442567567567568,3.974588460923765,8.199139716425043,5.6849884526558885,10.0,10.0,5.5,5.5
10.0,10.000000000000002,6.736486486486488,4.844813808534441,8.339652700334556,5.551963048498845,10.0,10.0,7.75,7.75
10.0,10.000000000000002,8.281370656370656,6.156624580469874,8.794169189103075,8.285912240184757,10.0,10.0,10.0,7.75
10.0,10.000000000000002,6.797297297297298,4.898034201694102,7.629918750995698,6.363972286374133,10.0,10.0,7.75,7.75
9.80611886885131,10.000000000000002,8.10907335907336,6.278887645836663,8.87159471084913,7.597228637413395,10.0,10.0,10.0,7.75
9.80611886885131,10.000000000000002,8.653474903474905,7.351925843055778,9.254420901704636,7.757967667436488,10.0,10.0,10.0,10.0
9.447407199494773,10.000000000000002,4.647200772200772,2.970592935911779,5.559502947267804,4.045727482678983,10.0,10.0,3.25,3.25
9.366570766963722,10.000000000000002,7.930984555984557,6.756432795269298,8.86299187509957,6.6327944572748265,10.0,10.0,7.75,7.75
9.321100273665007,10.000000000000002,6.347007722007723,4.206169090618507,7.27433487334714,6.079907621247113,10.0,10.0,5.5,5.5
8.942179496175708,10.000000000000002,7.172297297297298,5.742368547227105,8.371196431416282,5.909468822170901,10.0,10.0,7.75,7.75
8.795663462213179,9.057142857142859,8.543436293436294,7.009589260028768,8.633582921777919,8.371824480369515,10.0,10.0,10.0,10.0
8.295488035927306,8.135714285714286,9.050193050193052,9.522454850567366,8.751155010355266,7.292378752886836,10.0,10.0,10.0,10.0
8.10350150866606,10.000000000000002,4.55019305019305,1.7508390602525172,5.942329138123307,4.570900692840646,10.0,10.0,3.25,1.0
8.09339695459968,7.339285714285715,9.95945945945946,8.599009109797029,9.939780149753066,9.645265588914548,10.0,10.0,10.0,10.0
8.078240123500105,7.3535714285714295,9.911679536679538,9.7914335943743,9.30890552811853,8.966281755196306,10.0,10.0,10.0,10.0
8.012560522068629,8.678571428571429,7.996138996138997,6.326354482979063,8.513143221284052,7.576443418013857,10.0,10.0,7.75,7.75
7.886253596238862,9.546428571428573,6.952220077220078,4.782963081348889,7.800541660028676,6.751963048498845,10.0,10.0,7.75,7.75
7.8458353799733365,9.989285714285716,6.5265444015444025,5.036119546108358,7.430619722797514,5.643418013856813,10.0,10.0,5.5,7.75
7.618482913479757,7.367857142857144,9.184845559845561,8.371743647115231,9.340449259200255,8.219399538106234,10.0,10.0,10.0,10.0
7.502280541716372,10.000000000000002,5.566602316602317,3.5977305417931915,6.706547713876056,4.972748267898383,10.0,10.0,5.5,5.5
7.17893481159217,6.571428571428573,9.807432432432433,9.057855202173567,10.0,8.707159353348729,7.75,10.0,10.0,10.0
7.10315065609431,8.539285714285715,6.96380308880309,5.221671727665015,7.9453560618129675,6.222632794457274,10.0,10.0,7.75,7.75
7.052627885762404,9.646428571428572,5.902509652509654,4.246443982739331,7.016249800860283,5.015704387990762,10.0,10.0,5.5,5.5
7.037471054662832,10.000000000000002,4.474903474903476,2.956209045868627,4.484148478572566,4.606928406466512,10.0,10.0,3.25,3.25
7.007157392463688,10.000000000000002,4.75434362934363,2.626817963880454,5.0849131750836385,5.1459584295612,10.0,10.0,3.25,3.25
6.931373236965828,7.428571428571429,8.035231660231661,6.862873581588621,8.226382029631989,7.446189376443417,10.0,10.0,7.75,7.75
6.896007297733493,8.067857142857143,7.189671814671817,5.228863672686591,8.415644416122351,6.409699769053118,10.0,10.0,7.75,7.75
6.840432250368396,6.7928571428571445,8.840250965250966,7.999200894997603,8.854389039350009,8.05727482678984,7.75,10.0,10.0,10.0
6.830327696302015,6.496428571428572,9.326737451737452,9.00031964200096,9.472359407360205,7.890993071593534,7.75,10.0,10.0,10.0
6.805066311136062,6.675000000000001,8.96911196911197,7.685632092056897,8.72247889119006,8.855427251732099,7.75,10.0,10.0,10.0
6.774752648936917,6.446428571428571,9.31949806949807,9.021895477065687,9.297435080452445,8.021247113163973,7.75,10.0,10.0,10.0
6.6737071082731045,6.217857142857143,9.569980694980696,9.131213041393641,9.244384259996814,8.68498845265589,7.75,10.0,10.0,10.0
6.653498000140343,8.614285714285716,6.296332046332047,4.2450055937350175,7.780468376613031,5.407852193995381,10.0,10.0,5.5,5.5
6.613079783874817,10.000000000000002,3.0009652509652507,2.156464759469394,1.726939620837979,3.810161662817552,10.0,7.75,1.0,1.0
6.496877412111432,6.5357142857142865,8.66361003861004,7.704331149112994,8.643619563485743,8.036489607390298,7.75,7.75,10.0,10.0
6.244263560451899,6.100000000000001,8.983590733590736,8.191945021575835,9.014975306675163,8.126558891454966,7.75,7.75,10.0,10.0
6.17858395902042,6.546428571428573,8.091698841698843,6.661499120984496,8.77552971164569,7.271593533487297,7.75,7.75,7.75,7.75
6.032067925057892,8.775,5.3595559845559855,2.6944222470832666,7.125219053688069,4.845265588914549,10.0,7.75,3.25,3.25
6.032067925057892,5.700000000000001,9.345559845559848,9.620265302860796,8.824279114226542,7.978290993071593,5.5,7.75,10.0,10.0
5.890604168128553,5.953571428571429,8.56949806949807,6.859996803579991,8.77122829377091,8.459122401847573,7.75,7.75,10.0,7.75
5.855238228896219,5.857142857142858,8.676640926640928,7.823717436471153,9.235781424247252,7.38799076212471,7.75,7.75,10.0,10.0
5.78450635043155,5.517857142857142,9.226833976833978,8.225027968675084,9.680261271307948,8.154272517321015,5.5,7.75,10.0,10.0
5.774401796365169,6.9107142857142865,6.871138996138997,5.496404027489213,7.490839573044449,6.132563510392609,7.75,7.75,7.75,7.75
5.723879026033261,6.921428571428573,6.782818532818533,4.583027009749081,7.520949498167914,6.729792147806004,7.75,7.75,7.75,5.5
5.71377447196688,6.3464285714285715,7.566119691119692,6.752117628256354,7.525250916042694,6.884988452655889,7.75,7.75,7.75,7.75
5.663251701634974,7.7214285714285715,5.791023166023166,3.9602045708806135,7.05496256173331,4.931177829099307,10.0,7.75,5.5,5.5
5.663251701634974,5.646428571428572,8.692567567567568,7.236854722710564,9.503903138441931,7.739953810623555,5.5,7.75,10.0,10.0
5.63799031646902,5.289285714285715,9.400579150579151,9.533961962601888,8.854389039350009,8.186143187066975,5.5,7.75,10.0,10.0
5.552101606904779,5.539285714285715,8.682432432432435,7.714399872143199,8.934682173012586,7.800923787528869,5.5,7.75,10.0,10.0
5.552101606904779,5.928571428571429,7.944015444015445,6.7722550743167655,7.545324199458339,7.932563510392609,7.75,7.75,7.75,7.75
5.547049329871588,7.125000000000002,6.247104247104247,4.065206968195621,7.496574796877491,5.714087759815242,7.75,7.75,5.5,5.5
5.531892498772017,5.6535714285714285,8.408783783783786,7.957487613872464,8.808507248685677,6.903002309468821,5.5,7.75,10.0,10.0
5.380324187776297,7.225,5.873552123552123,3.7861595013584783,7.50231002071053,4.906235565819861,10.0,7.75,5.5,5.5
5.375271910743106,5.65,8.096042471042471,8.298385807895158,8.386968296957145,6.082678983833718,5.5,7.75,7.75,10.0
5.355062802610344,5.360714285714286,8.624517374517376,9.22326993766981,8.375497849291063,6.722863741339491,5.5,7.75,10.0,10.0
5.304540032278437,5.917857142857143,7.473455598455599,5.805657663416973,7.90520949498168,7.160739030023094,7.75,7.75,7.75,7.75
5.274226370079294,6.8535714285714295,6.113899613899616,3.881093175643279,7.390473155966225,5.610161662817552,7.75,7.75,5.5,5.5
5.238860430846959,5.3535714285714295,8.378378378378379,8.676682116030047,8.187669268758961,6.724249422632794,5.5,7.75,10.0,10.0
5.1681285523822895,4.907142857142858,9.215250965250966,8.88956368866869,8.960490680261271,8.17228637413395,3.25,7.75,10.0,10.0
5.062030734685286,6.646428571428572,5.993725868725869,3.1043631133130893,7.419149275131431,5.98568129330254,7.75,7.75,5.5,3.25
5.041821626552523,5.350000000000001,7.945463320463322,7.527409301582228,8.348255536084118,6.430484988452656,5.5,7.75,7.75,10.0
4.971089748087854,6.089285714285715,6.556949806949808,4.197538756592616,7.919547554564282,6.067436489607389,7.75,7.75,5.5,5.5
4.9609851940214735,5.200000000000001,8.067084942084943,7.2972670608918015,8.437151505496255,6.9168591224018465,5.5,7.75,7.75,10.0
4.950880639955091,6.125,6.477316602316604,4.053699856161099,8.08730285168074,5.815242494226327,7.75,7.75,5.5,5.5
4.950880639955091,5.132142857142858,8.171332046332049,5.6129135368387395,8.888800382348256,8.402309468822171,5.5,7.75,10.0,7.75
4.940776085888711,5.0,8.44787644787645,7.652549144957646,9.030747172216026,7.094226327944572,5.5,7.75,10.0,10.0
4.885201038523613,5.1035714285714295,8.090250965250966,7.144797826434393,9.00063724709256,6.582909930715935,5.5,5.5,7.75,10.0
4.885201038523613,10.000000000000002,2.7461389961389964,1.8241968994725908,2.0208698422813445,3.114549653579677,10.0,5.5,1.0,1.0
4.880148761490423,6.917857142857143,5.379826254826256,4.209045868627138,6.101481599490203,4.4337182448036945,7.75,5.5,3.25,5.5
4.870044207424041,5.2785714285714285,7.694980694980696,6.3277928719833785,7.9568265094790505,7.246651270207852,5.5,5.5,7.75,7.75
4.814469160058945,4.921428571428571,8.320463320463322,7.694262426082787,8.936115978970845,6.778290993071593,3.25,5.5,10.0,10.0
4.763946389727037,5.592857142857143,6.9073359073359075,5.1972191145916575,7.313047634220169,6.697921478060046,5.5,5.5,7.75,7.75
4.713423619395131,5.0285714285714285,7.841216216216218,6.796707687390123,8.385534490998884,6.800461893764434,5.5,5.5,7.75,7.75
4.647744017963652,6.135714285714286,5.876447876447877,4.378775771136327,7.204078381392385,4.630484988452656,7.75,5.5,5.5,5.5
4.637639463897271,4.2857142857142865,9.480212355212355,9.473549624420649,9.042217619882111,8.292840646651271,3.25,5.5,10.0,10.0
4.617430355764508,4.289285714285715,9.41361003861004,8.922646635767942,9.546917317189742,8.144572748267898,3.25,5.5,10.0,10.0
